drep_id,name,ref_proposal_vote,target_proposal_vote,status,voting_power_ada
drep1yf8p623g9s0yxnlnjzealgajyxl57k7n6saeavc7azg0crcahnul9,,No,No,Same Vote,379066
drep1y27qjjnz9a7q6zmvpajzqpqylnka6lpkvcm9sgjrdheqt0qq6pchw,Chris [STR8] - Straightpool,Yes,Yes,Same Vote,19989229
drep1ytnvazqpsj98pu7w6vtmeddcy9pnn6y6nl0psr5ajzge52s82zz8t,LEADStakePool,Yes,Not Voted,Not Voted on Target,3591666
drep1ygsgfhcydhlfglamhzkjn97rz3edef8a4z99fwl2frcwnrcmgurt3,Dave,No,Not Voted,Not Voted on Target,71370465
drep1y25rvalxnc4p8fghxcwkz0l6gdseqduqvrdzh5pzdprrvnczj0ucx,ONYX AI DRep,Yes,Not Voted,Not Voted on Target,4597579
drep1yg343cyuckglj48a6gpcey7fkfcy5x5f9g65wme3ne9q2mgaedmkm,Phil UPLC,Yes,Yes,Same Vote,76686356
drep1yglrf4el8gghum239fggvfrau25k2576y4dvcz65r2ukj8sqpsc2k,Cerkoryn,Abstain,Not Voted,Not Voted on Target,28190620
drep1y2lhe7wn2sr6vme8gnca4jrkhv47uh3tklsykmrqvwzdq4g5s8wju,,Abstain,Yes,Changed Vote,3833424
drep1yg0qxrv3dc0zqzj3sc8d0jymhdn974f5f84uh9grcyc8x7syrlscj,Dutch DRep - SPO FLOWR,Yes,Not Voted,Not Voted on Target,207060
drep1yfrpcln42j0f6p6zzt5863xn8pz4kkgfkvswlp88klyy4acjdju2k,SVRN | Sleeping Natives,Yes,Not Voted,Not Voted on Target,271721
drep1yfa2s82ahzdudyhup5jy4xwztpmgppgxk7amvm2smr2xx3ggapruw,,Yes,Not Voted,Not Voted on Target,8342
drep1yg0d4qr3qwtgkh59njhdgjpwde6c8vmqax08x3y8klupxvq6u3dyk,spannercode,Yes,Not Voted,Not Voted on Target,279202
drep1ygfw05xk3skujuym7v8w0t4se3a3n9smcfxufd5y0scl63saskmly,HD5000,Yes,Not Voted,Not Voted on Target,94841
drep1ytzshxuma6cwrnlv2ucyclfqw3k4nu4nuudmh2z87j9hncsk9dhy4,Kyle Solomon,Yes,Yes,Same Vote,25208666
drep1yt9dq806jcm56wzhnv2yrf6gcyq7h4gap8gxewfykk0dtfs7vf843,Agora | Cardano (by Rodrigo Pacini),Abstain,No,Changed Vote,258777
drep1y26k7hpkj26dnp8yznnsgpwu8l6pkgcdey4zd23dk655qcse26y3g,,Yes,Not Voted,Not Voted on Target,64242
drep1y2jd3c4hgg0tdua58z6c64k9rf58lz3jlcjlxcjfeaspl6q2e9zm6,Lucas.Macchiavelli,Yes,Not Voted,Not Voted on Target,1376182
drep1yfpgzfymq6tt9c684e7vzata8r5pl4w84fmrjqeztdqw0sgpzw3nt,,Yes,Yes,Same Vote,298861
drep1ytwlmrm6ksc8sa5fdhm63prqve6hjzvghdc3053zwz6hyeg0ayhg2,Crypto_Oaj,No,No,Same Vote,587453
drep1y2ltat8kjqrmnff3lkkpxy0j5tn66d3m0gy64dc92asft5g6dl9ws,,No,Not Voted,Not Voted on Target,270058
